from_cluster,to_cluster,edge_count
sentinel.agent.organs,sentinel.agent.organs,116
sentinel.organs.browser,sentinel.organs.browser,98
sentinel.agent.browser,sentinel.agent.browser,93
sentinel.agent.model_execution,sentinel.agent.model_execution,50
sentinel.agent.browser,sentinel.organs.browser,40
sentinel.agent.organs,sentinel.shared.models,34
sentinel.agent.organs,sentinel.agent.model_execution,31
sentinel.organs.browser,sentinel.shared.models,26
sentinel.organs.desktop,sentinel.organs.desktop,24
sentinel.agent.organs,sentinel.mission.models,23
sentinel.agent.organs,sentinel.agent.llm,23
sentinel.organs.browser,sentinel.shared.events,22
tests.perf,sentinel.perf.caches,22
tests.perf,sentinel.shared.events,22
sentinel.agent.llm,sentinel.agent.llm,21
tests.perf,sentinel.perf.measure,21
tests.test_browser_neural_audit_remediation_lock,sentinel.agent.organs,20
sentinel.organs.channels,sentinel.organs.channels,16
tests.test_browser_operating_subsystem_hardened_live_backend_lock,sentinel.agent.organs,16
sentinel.organs.external_api,sentinel.organs.external_api,15
tests.test_browser_neural_safety_invariants_audit_lock,sentinel.agent.browser,15
sentinel.agent.browser,sentinel.shared.models,14
tests.test_account_creation_login_special_authority_v1,sentinel.operator.account_authority,14
tests.test_organ_safety_scanner_consolidation,sentinel.agent.organs,14
tests.operator,sentinel.operator.models,14
sentinel.organs.credentials,sentinel.organs.credentials,13
sentinel.agent.organs,sentinel.organs.browser,13
tests.perf,sentinel.perf.hot_cold,13
sentinel.organs.desktop,sentinel.shared.models,12
tests.test_browser_neural_cortex_v0a_signal_graph,sentinel.agent.browser,12
tests.test_browser_runtime_unification_l6_login_file_js_dispatch_lock,sentinel.agent.organs,12
tests.perf,sentinel.perf.sched,12
tests.operator,sentinel.operator.kernel,11
tests.perf,sentinel.perf.bench,11
sentinel.agent.llm,sentinel.shared.models,10
tests.test_browser_download_upload_quarantine_l6,sentinel.agent.organs,10
tests.test_browser_neural_cortex_v0b_motor_proposal,sentinel.agent.browser,10
tests.test_browser_runtime_failure_and_concurrency_hardening_lock,sentinel.agent.organs,10
tests.test_browser_runtime_unification_l5_l6_dispatch_lock,sentinel.agent.organs,10
tests.test_external_api_read_write_organ_v1,sentinel.agent.organs,10
tests.test_payment_spend_trading_special_authority_v1,sentinel.operator.financial_authority,10
tests.test_sentinel_power_runtime_v0,sentinel.power.runtime,10
tests.operator,sentinel.mission.models,10
tests.test_account_creation_login_special_authority_v1,sentinel.operator.account_authority_models,9
tests.test_browser_multi_agent_operator_squad_lock,sentinel.agent.browser,9
tests.test_browser_session_manager_l5_live,sentinel.agent.organs,9
tests.test_sandbox_shell_code_organ_v1,sentinel.agent.organs,9
sentinel.organs.browser,sentinel.agent.artifact_capture,8
sentinel.agent.llm,sentinel.agent.model_execution,8
sentinel.agent.model_execution,sentinel.shared.models,8
tests.test_audit_remediation_batch_lock,sentinel.agent.organs,8
tests.test_browser_controlled_extension_webmcp_bridge_l7,sentinel.agent.organs,8
tests.test_browser_login_credential_session_broker_l6,sentinel.agent.organs,8
tests.test_channel_draft_send_organ_v1,sentinel.agent.organs,8
sentinel.agent.final_gate,sentinel.agent.browser,7
sentinel.operator.model_client,sentinel.agent.model_execution,7
sentinel.organs.channels,sentinel.shared.models,7
tests.test_browser_form_submit_special_authority_l6,sentinel.agent.organs,7
tests.test_browser_js_sandbox_special_authority_l6,sentinel.agent.organs,7
tests.test_browser_multi_step_task_orchestrator_v1,sentinel.agent.organs,7
tests.test_real_world_power_convergence_wave1,sentinel.agent.organs,7
tests.operator,sentinel.operator.action_kernel,7
tests.operator,sentinel.operator.model_led_task_loop,7
tests.perf,sentinel.mission.models,7
tests.perf,sentinel.shared.models,7
sentinel.agent.runtime,sentinel.perf.caches,6
sentinel.operator.real_model_certification,sentinel.agent.model_execution,6
sentinel.operator.real_model_certification,sentinel.agent.organs,6
sentinel.operator.self_exploration_read_only,sentinel.agent.model_execution,6
sentinel.missions.gtm,sentinel.missions.gtm,6
sentinel.missions.research_summary,sentinel.missions.research_summary,6
sentinel.agent.brain,sentinel.agent.llm,6
tests.test_browser_account_creation_special_authority_l7,sentinel.agent.organs,6
tests.test_browser_benchmark_gauntlet_web_arena_style,sentinel.agent.organs,6
tests.test_browser_boundary_manager_l6_l7,sentinel.agent.organs,6
tests.test_browser_devtools_backend_adapter_foundation_v1,sentinel.agent.organs,6
tests.test_browser_devtools_input_parity_l5_l6,sentinel.agent.organs,6
tests.test_browser_devtools_machine_intelligence_v1,sentinel.agent.organs,6
tests.test_browser_failure_recovery_engine_v1,sentinel.agent.organs,6
tests.test_browser_network_har_response_quarantine_v1,sentinel.agent.organs,6
tests.test_browser_neural_gauntlet_lock,sentinel.agent.browser,6
tests.test_browser_observability_replay_studio_v1,sentinel.agent.organs,6
tests.test_browser_operator_agent_l4_l5_live,sentinel.agent.organs,6
tests.test_browser_payment_spend_special_authority_l7,sentinel.agent.organs,6
tests.test_browser_performance_lighthouse_organ_v1,sentinel.agent.organs,6
tests.test_browser_semantic_extraction_agentruntime_opt_in,sentinel.agent.organs,6
tests.test_browser_trajectory_planner_l5,sentinel.agent.organs,6
tests.test_browser_visual_grounding_ocr_v1,sentinel.agent.organs,6
tests.test_organ_execution_agentruntime_opt_in,sentinel.agent.organs,6
tests.test_sentinel_power_lab_runtime_v0,sentinel.power_lab,6
tests.operator,sentinel.operator.channel_adapter,6
tests.operator,sentinel.operator.decision_context,6
tests.operator,sentinel.operator.loop_guard,6
tests.perf,sentinel.agent.runtime,6
tests.perf,sentinel.shared.enums,6
sentinel.cli,sentinel.agent.organs,5
sentinel.agent.final_gate_registry,sentinel.agent.final_gate,5
sentinel.perf.bench,sentinel.perf.hot_cold,5
sentinel.perf.hot_cold,sentinel.shared.events,5
sentinel.organs.credentials,sentinel.shared.models,5
sentinel.organs.external_api,sentinel.shared.models,5
sentinel.agent.organs,sentinel.shared.safety_scanner,5
tests.test_browser_readonly_preparation_agentruntime_opt_in,sentinel.agent.organs,5
tests.test_browser_semantic_extraction_organ_v1,sentinel.agent.organs,5
tests.test_durable_receipt_ledger_foundation,sentinel.agent.browser,5
tests.test_llm_operator_model_client_v0,sentinel.agent.model_execution,5
tests.test_low_risk_execution_finalgate_receipts,sentinel.agent.organs,5
tests.test_low_risk_local_artifact_executor_l2,sentinel.agent.organs,5
tests.test_real_model_execution_openrouter,sentinel.agent.model_execution,5
tests.test_reversible_workspace_action_executor_l3,sentinel.agent.organs,5
tests.operator,sentinel.operator.runtime_host,5
tests.operator,sentinel.operator.read_only_operator_spine,5
sentinel.operator.interactive_exploration_read_only,sentinel.agent.model_execution,4
sentinel.perf.bench,sentinel.perf.bench,4
sentinel.perf.bench,sentinel.perf.measure,4
sentinel.perf.caches,sentinel.shared.events,4
sentinel.perf.hot_cold,sentinel.shared.models,4
sentinel.perf.measure,sentinel.perf.measure,4
sentinel.perf.sched,sentinel.perf.sched,4
sentinel.perf.sched,sentinel.shared.models,4
sentinel.organs.desktop,sentinel.organs.lanes,4
sentinel.decision.debate,sentinel.decision.debate,4
sentinel.agent.browser,sentinel.agent.models,4
sentinel.agent.browser,sentinel.agent.event_bus,4
sentinel.agent.llm,sentinel.shared.safety_scanner,4
tests.test_browser_neural_audit_remediation_lock,sentinel.organs.credentials,4
tests.test_browser_organ_final_gate,sentinel.agent.final_gate_registry,4
tests.test_browser_preparation_organ_v1,sentinel.agent.organs,4
tests.test_cognition_memory_scanner_consolidation_lock,sentinel.agent.llm,4
tests.test_openai_compatible_provider_base,sentinel.agent.model_execution,4
tests.test_payment_spend_trading_special_authority_v1,sentinel.operator.financial_authority_models,4
tests.operator,sentinel.operator.authority_issuer,4
tests.perf,sentinel.agent.models,4
tests.perf,sentinel.agent,4
tests.perf,sentinel.organs.kill_switch,4
tests.perf,sentinel.perf.workspace,4
sentinel.agent.runtime,sentinel.perf.sched,3
sentinel.mission.runner,sentinel.perf.hot_cold,3
sentinel.operator.llm_adapter,sentinel.agent.model_execution,3
sentinel.operator.model_router,sentinel.agent.model_execution,3
sentinel.operator.mutation_artifact_channel,sentinel.agent.organs,3
sentinel.operator.read_only_model_clients,sentinel.agent.model_execution,3
sentinel.power.demo,sentinel.agent.organs,3
sentinel.perf.bench,sentinel.shared.models,3
sentinel.perf.bench,sentinel.perf.sched,3
sentinel.perf.caches,sentinel.shared.models,3
sentinel.perf.caches,sentinel.agent.decision_frame,3
sentinel.perf.hot_cold,sentinel.perf.hot_cold,3
sentinel.perf.measure,sentinel.shared.models,3
sentinel.perf.sched,sentinel.perf.measure,3
sentinel.organs.browser,sentinel.organs.authority,3
sentinel.organs.channels,sentinel.organs.lanes,3
sentinel.organs.desktop,sentinel.organs.contracts,3
sentinel.missions.gtm,sentinel.shared.enums,3
sentinel.missions.research_summary,sentinel.shared.enums,3
sentinel.decision.debate,sentinel.shared.enums,3
sentinel.agent.browser,sentinel.agent.events,3
sentinel.agent.browser,sentinel.agent.phases,3
sentinel.agent.llm,sentinel.agent.events,3
sentinel.agent.llm,sentinel.agent.phases,3
sentinel.agent.organs,sentinel.power.runtime,3
sentinel.agent.perception,sentinel.agent.perception,3
tests.test_browser_readonly_organ_v1,sentinel.agent.organs,3
tests.test_mission_authority_and_credential_vault_foundation,sentinel.agent.organs,3
tests.test_mission_kernel,sentinel.mission.artifacts,3
tests.test_motor_neuron_to_organ_dispatch_lock,sentinel.agent.browser,3
tests.test_real_model_execution_groq,sentinel.agent.model_execution,3
tests.test_real_model_execution_nvidia,sentinel.agent.model_execution,3
tests.test_sanitization_property,sentinel.agent.evidence_ranker,3
tests.operator,sentinel.operator.connection_manifest_models,3
tests.operator,sentinel.operator.connection_manifest_registry,3
tests.operator,sentinel.operator.channel_adapter_models,3
tests.operator,sentinel.operator.channel_adapter_replay,3
tests.operator,sentinel.operator.connection_live_channel_action_models,3
tests.operator,sentinel.operator.connection_live_channel_action_runtime,3
tests.operator,sentinel.operator.mission_lifecycle_service,3
tests.perf,sentinel.agent.evidence_ranker,3
tests.perf,sentinel.organs.authority,3
tests.perf,sentinel.organs.dry_run,3
sentinel.cli,sentinel.organs.browser,2
sentinel.power_lab,sentinel.agent.organs,2
