path,module,kind,name,line,end_line,length
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,build_parser,64,257,194
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,main,260,388,129
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_cockpit_command,391,597,207
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_legacy_internal_cockpit_command,600,618,19
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_cockpit_turn_loop,621,699,79
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_classify_cockpit_conversation,702,725,24
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_conversation_outcome_for_block_reason,728,738,11
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_has_daemon_pickup,741,746,6
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_emit_cockpit_product_block,749,767,19
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_explicit_bootstrap_preflight_reason,770,793,24
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_mission_execution_options_from_args,796,814,19
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_provider_decision_timeout_seconds,817,820,4
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_explicit_bootstrap_script_turns,823,824,2
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_is_explicit_bootstrap_approval,827,828,2
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_explicit_bootstrap_approval_missing_turn,831,842,12
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_load_authority_approval_scope,865,878,14
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_with_cockpit_route_metadata,881,896,16
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_cockpit_help_turn,899,908,10
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_cockpit_missions_turn,911,923,13
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_cockpit_input_lines,926,937,12
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_cockpit_timeline_turn,940,963,24
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_cockpit_replay_turn,966,990,25
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_load_user_model_contract,993,994,2
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_add_browser_arguments,997,1025,29
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_browser_command,1028,1076,49
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_browser_session_demo,1079,1155,77
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_fixture_public_dns_resolver,1158,1173,16
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_browser_trajectory_demo,1176,1255,80
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_browser_submit_demo,1258,1354,97
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_run_browser_login_demo,1357,1451,95
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,_create_browser_run_dir,1454,1460,7
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,function,resolve,1168,1171,4
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,class,PowerLabStatus,29,32,4
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,class,PowerLabMissionRejected,35,36,2
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,class,PowerLabPreset,39,63,25
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,class,PowerLabMissionFile,66,83,18
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,class,PowerLabRunResult,86,115,30
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,utc_now,180,181,2
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,get_power_lab_preset,184,188,5
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,build_power_lab_runtime_config,191,385,195
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,load_power_lab_mission_file,388,402,15
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,run_power_lab_mission,405,462,58
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_load_structured_file,465,473,9
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_reject_dangerous_allowed_actions,476,491,16
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_create_run_dir,494,500,7
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_write_runtime_artifacts,503,556,54
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_status_from_runtime_result,559,565,7
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_write_json,568,569,2
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_safe_model_dump,572,579,8
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_preset_cannot_grant_power,56,63,8
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_mission_file_is_not_authority,78,83,6
sentinel-control/services/sentinel-core/sentinel/power_lab.py,sentinel.power_lab,function,_result_is_measurement_only,108,115,8
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,CompiledMissionDecision,25,29,5
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,ActionEngineStatus,32,36,5
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,CompiledMissionPolicy,39,60,22
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,CompiledMissionPolicyCompiler,63,120,58
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,SceneActionCandidate,123,140,18
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,PerceptionActionLink,143,155,13
